source,target,importance
ELOF1,ELP3,0.7552485466003418
DNTTIP1,ELP3,0.7551387548446655
NR2C2AP,ELP3,0.753660261631012
ELP4,ELP3,0.7506517171859741
COMTD1,ELP3,0.7431763410568237
GMIP,ELP3,0.7387250661849976
C14orf178,ELP3,0.7383654117584229
ERAL1,ELP3,0.7356240749359131
PPP1R8,ELP3,0.7345560193061829
MAST1,ELP3,0.7149081230163574
SLC30A9,ELP3,0.7121148109436035
GINS3,DYNLL1,0.9762003421783447
RFC2,DYNLL1,0.9646978378295898
TIMELESS,DYNLL1,0.9638978242874146
RFC5,DYNLL1,0.9605640769004822
TIPIN,DYNLL1,0.9601892828941345
WDHD1,DYNLL1,0.9532055258750916
USP37,DYNLL1,0.9522140026092529
RAD51C,DYNLL1,0.9516484141349792
RFC4,DYNLL1,0.9473327398300171
TFDP1,DYNLL1,0.9458554983139038
MCM3,DYNLL1,0.9457530975341797
MCM6,DYNLL1,0.9440735578536987
KIF20A,DYNLL1,0.9432436227798462
PDLIM4,DYNLL1,0.9421285390853882
MMS22L,DYNLL1,0.941264271736145
MTBP,DYNLL1,0.9385514855384827
FAM122B,DYNLL1,0.9361689686775208
ATAD5,DYNLL1,0.935843825340271
GINS4,DYNLL1,0.9334424138069153
PFN1,DYNLL1,0.9311511516571045
CEBPG,ACSS2,0.9966894388198853
PNPT1,ACSS2,0.9937158226966858
DNAJA3,ACSS2,0.9911224842071533
MTPAP,ACSS2,0.9897616505622864
TOMM20,ACSS2,0.9877187013626099
LRPPRC,ACSS2,0.9876921772956848
TFAM,ACSS2,0.9870906472206116
TEFM,ACSS2,0.9867274761199951
SUPV3L1,ACSS2,0.9861302971839905
SSBP1,ACSS2,0.9855491518974304
OPA1,ACSS2,0.9851653575897217
POLRMT,ACSS2,0.983528196811676
VPS13D,ACSS2,0.982678234577179
TOMM40,ACSS2,0.980660080909729
TTC1,ACSS2,0.9795048832893372
TAMM41,ACSS2,0.9778343439102173
SERPINB1,ACSS2,0.9769900441169739
CLASRP,ACSS2,0.9758310914039612
LETM1,ACSS2,0.9744949340820312
TOMM22,ACSS2,0.9737175703048706
RPS19,ABCE1,0.9844105243682861
RPS9,ABCE1,0.9833722114562988
RPS15A,ABCE1,0.9820672273635864
RPSA,ABCE1,0.9810270667076111
DDX18,ABCE1,0.9806010723114014
RPS23,ABCE1,0.979213297367096
LTV1,ABCE1,0.9791481494903564
AATF,ABCE1,0.9789121150970459
RPS26,ABCE1,0.9788548946380615
PNO1,ABCE1,0.9783964157104492
RPS17,ABCE1,0.9779878854751587
RPS7,ABCE1,0.9777261018753052
YAE1,ABCE1,0.9773612022399902
BDP1,ABCE1,0.9773378372192383
PSMD7,ABCE1,0.9773005247116089
EEF2,ABCE1,0.9771376252174377
RPL15,ABCE1,0.9767934083938599
MPHOSPH10,ABCE1,0.9767113924026489
RPS3,ABCE1,0.9764392971992493
PSMD2,ABCE1,0.9763164520263672
ZMAT5,KPNA4,0.913129448890686
SNRNP25,KPNA4,0.910624623298645
MED11,KPNA4,0.8938644528388977
ATF7IP2,KPNA4,0.8935725688934326
MED6,KPNA4,0.8935067057609558
MED18,KPNA4,0.8934065699577332
MED21,KPNA4,0.8920999765396118
POLR2E,KPNA4,0.8907271027565002
MED10,KPNA4,0.890543520450592
GTF2H1,KPNA4,0.8904778957366943
EPS8L1,KPNA4,0.8900448679924011
MED20,KPNA4,0.8900265693664551
MED14,KPNA4,0.889944314956665
GPN1,KPNA4,0.8892467617988586
TMEM161B,KPNA4,0.8875812292098999
LAMTOR1,KPNA4,0.8866293430328369
GPN3,KPNA4,0.8863540887832642
RPAP2,KPNA4,0.8862227201461792
POLR2H,KPNA4,0.8861352205276489
NELFB,KPNA4,0.8854389190673828
PRMT1,CIAO1,0.7664735317230225
HEXIM1,CIAO1,0.7619615793228149
CHKB,CIAO1,0.7462419271469116
PCM1,CIAO1,0.7214014530181885
PPIE,CIAO1,0.7203899025917053
PPP1R8,CIAO1,0.7109290361404419
DNTTIP1,CIAO1,0.7097777128219604
C14orf178,CIAO1,0.7001380920410156
